"date","close","volume","open","high","low"
"16:00","67.55","1,067,747","67.01","67.73","66.97"
"2017/05/12","67.5500","1067747.0000","67.0100","67.7300","66.9700"
"2017/05/11","67.2000","1359947.0000","66.7500","67.3300","66.2800"
"2017/05/10","66.7500","984145.0000","66.6600","66.8200","65.9800"
"2017/05/09","66.7500","1186355.0000","67.1800","67.4000","66.7300"
"2017/05/08","67.0300","982837.0000","67.9000","68.0300","66.7400"
"2017/05/05","67.9100","571990.0000","67.9600","68.0650","67.5265"
"2017/05/04","67.9600","850034.0000","68.1000","68.1000","67.3000"
"2017/05/03","67.8100","1239941.0000","68.3400","68.5300","67.2800"
"2017/05/02","68.3600","570488.0000","68.4500","68.6400","68.0200"
"2017/05/01","68.4400","627104.0000","69.2400","69.2400","68.4300"
"2017/04/28","68.8700","1026795.0000","68.6500","69.0200","68.3600"
"2017/04/27","68.6700","1561212.0000","69.4200","69.5200","68.2750"
"2017/04/26","69.5400","1874193.0000","70.2200","70.5400","68.9300"
"2017/04/25","70.5300","760601.0000","70.8800","70.9700","70.4400"
"2017/04/24","70.4500","1117192.0000","70.8300","70.9900","70.1100"
"2017/04/21","69.9100","827624.0000","69.9700","70.3000","69.6600"
"2017/04/20","70.1200","684982.0000","69.5800","70.2050","69.1300"
"2017/04/19","69.1700","488647.0000","69.4200","69.6400","69.0700"
"2017/04/18","69.1000","1041712.0000","68.8100","69.2400","68.4300"
"2017/04/17","69.0800","597411.0000","68.2300","69.1000","68.0900"
"2017/04/13","68.1100","784126.0000","68.5800","68.6900","67.9200"
"2017/04/12","68.6800","685790.0000","68.9000","68.9100","68.4300"
"2017/04/11","69.0000","702320.0000","69.0700","69.3300","68.5100"
"2017/04/10","69.3600","676636.0000","69.2800","69.7100","69.1100"
"2017/04/07","69.2200","822334.0000","68.7700","69.5800","68.7400"
"2017/04/06","69.1300","538227.0000","69.0400","69.6400","68.7200"
"2017/04/05","69.0900","799727.0000","69.0200","69.9000","68.5500"
"2017/04/04","68.6300","799976.0000","68.8300","68.9400","68.0700"
"2017/04/03","68.9100","677790.0000","69.2800","69.6000","68.8295"
"2017/03/31","69.4500","900482.0000","69.1700","69.6400","68.8800"
"2017/03/30","69.3900","894575.0000","68.7000","69.5100","68.5200"
"2017/03/29","68.6700","601358.0000","68.9700","69.0100","68.4250"
"2017/03/28","69.1400","969425.0000","68.9800","69.3856","68.6000"
"2017/03/27","69.0100","525911.0000","69.2700","69.3975","68.7900"
"2017/03/24","69.8500","844700.0000","69.9200","70.5399","69.6800"
"2017/03/23","69.7300","839891.0000","69.7700","70.2200","69.6100"
"2017/03/22","69.7000","712735.0000","69.8100","69.9600","69.3900"
"2017/03/21","69.7400","1142663.0000","71.0500","71.2100","69.6850"
"2017/03/20","70.7700","632079.0000","70.6500","71.0300","70.5400"
"2017/03/17","70.8800","1551695.0000","71.1200","71.4600","70.8500"
"2017/03/16","71.1600","1099199.0000","70.7800","71.2600","70.3700"
"2017/03/15","70.8200","956009.0000","70.6900","70.9100","70.3600"
"2017/03/14","70.7100","691532.0000","70.6500","70.9400","70.5100"
"2017/03/13","70.7800","1056170.0000","70.8800","71.0200","70.4300"
"2017/03/10","70.9600","1085220.0000","71.3100","71.5700","70.2700"
"2017/03/09","71.0800","718833.0000","71.0400","71.2700","70.7100"
"2017/03/08","70.7300","827207.0000","70.9900","71.3300","70.6600"
"2017/03/07","70.9300","739423.0000","71.4400","71.4400","70.7300"
"2017/03/06","71.3600","877435.0000","70.8100","71.5600","70.6300"
"2017/03/03","71.0900","1104087.0000","71.2100","71.5800","70.6800"
"2017/03/02","71.2500","890064.0000","72.1800","72.3400","71.1500"
"2017/03/01","72.1800","1293738.0000","72.0000","72.5200","71.8100"
"2017/02/28","71.1100","1355994.0000","71.1800","71.3350","70.6900"
"2017/02/27","71.1500","767239.0000","71.5700","71.5700","70.9200"
"2017/02/24","71.4500","871809.0000","71.0800","71.7900","71.0487"
"2017/02/23","71.4500","547286.0000","71.4300","71.7300","71.1700"
"2017/02/22","71.2400","814774.0000","71.2400","71.7600","71.0600"
"2017/02/21","71.3700","962308.0000","71.6000","71.8600","71.2650"
"2017/02/17","71.5100","2710388.0000","71.1300","71.6500","70.8000"
"2017/02/16","71.3400","879385.0000","71.3300","71.5900","70.7200"
"2017/02/15","71.2500","877006.0000","71.0300","71.6300","70.5100"
"2017/02/14","70.7800","682582.0000","70.7000","71.0400","70.5000"
"2017/02/13","70.7000","840413.0000","69.7900","70.8600","69.4400"
